,publisher,author,isbn,date,title,weeks_on_list,no_of_words_title
497,Touchstone,Philippa Gregory,1476758786,2017-08-27,THE LAST TUDOR,1,3
498,BookShots,James Patterson with Maxine Paetro,0316504831,2017-08-20,THE MEDICAL EXAMINER,1,3
499,Ballantine,Jonathan Kellerman and Jesse Kellerman,0399594612,2017-08-20,CRIME SCENE,1,2
500,Avon,Ilona Andrews,0062289284,2017-08-13,WILDFIRE,1,1
501,Minotaur,C J Box,None,2017-08-13,PARADISE VALLEY,1,2
502,Grand Central,James Patterson and others,1478971630,2017-08-13,THE MOORES ARE MISSING,1,4
503,Zebra,"Lisa Jackson, Nancy Bush and Rosalind Noonan",1420137891,2017-08-13,OMINOUS,1,1
504,HQN,Marie Force,1460399986,2017-08-13,FATAL THREAT,1,2
505,Vi Keeland,Vi Keeland,1942215649,2017-08-06,BEAUTIFUL MISTAKE,1,2
506,St. Martin's,Iris Johansen and Roy Johansen,1466887346,2017-08-06,LOOK BEHIND YOU,1,3
507,Minotaur,Louise Penny,1429967234,2017-07-30,STILL LIFE,1,2
508,Random House Publishing Group,Kathy Reichs,0345544080,2017-07-30,TWO NIGHTS,1,2
509,HQN,Susan Mallery,1488023220,2017-07-30,SECRETS OF THE TULIP SISTERS,1,5
510,Berkley,Julie Garwood,None,2017-07-23,WIRED,1,1
511,Dell,Lee Child,0440336058,2017-07-23,THE HARD WAY,1,3
512,Berkley,Patricia Cornwell,None,2017-07-23,THE BONE BED,1,3
513,Penguin,Celeste Ng,1101634618,2017-07-23,EVERYTHING I NEVER TOLD YOU,1,5
514,Delacorte,Diana Gabaldon,039959342X,2017-07-16,SEVEN STONES TO STAND OR FALL,1,6
515,Zebra,Fern Michaels,142014068X,2017-07-16,HIGH STAKES,1,2
516,Random House,ï»¿Imbolo Mbue,0525509712,2017-07-16,BEHOLD THE DREAMERS,1,3
517,HQN,RaeAnne Thayne,037379939X,2017-07-16,SERENITY HARBOR,1,2
518,Avon,Sarah MacLean,0062379461,2017-07-16,THE DAY OF THE DUCHESS,1,5
519,Bantam,Janet Evanovich,0553392751,2017-07-09,DANGEROUS MINDS,1,2
520,Gallery Books,Mary Alice Monroe,1501125516,2017-07-09,BEACH HOUSE FOR RENT,1,4
521,Harper,Adriana Trigiani,0062319221,2017-07-09,KISS CARLO,1,2
522,Morrow,Don Winslow,0062664425,2017-07-09,THE FORCE,1,2
523,Berkley,Nalini Singh,1101987812,2017-07-02,SILVER SILENCE,1,2
524,Putnam,Stuart Woods,0735217130,2017-06-25,INDECENT EXPOSURE,1,2
525,Howard,Karen Kingsbury,1451687591,2017-06-25,LOVE STORY,1,2
526,Berkley,Christine Feehan,None,2017-06-18,SHADOW REAPER,1,2
527,Avon,Julia Quinn,0062388185,2017-06-18,THE GIRL WITH THE MAKE-BELIEVE HUSBAND,1,6
528,Avon,Ilona Andrews,0062289268,2017-06-18,WHITE HOT,1,2
529,Mira,Heather Graham,0778330222,2017-06-18,DYING BREATH,1,2
530,Avon,Maya Banks,0062410199,2017-06-11,JUST ONE TOUCH,1,3
531,Waterhouse,Helen Hardt,None,2017-06-04,SURRENDER,1,1
532,Cemetery Dance,Stephen King and Richard Chizmar,None,2017-06-04,GWENDY'S BUTTON BOX,1,3
533,Grand Central,Scott Turow,1455553522,2017-06-04,TESTIMONY,1,1
534,Doubleday,Lincoln Child,0385531435,2017-06-04,FULL WOLF MOON,1,3
535,Penelope Sky,Penelope Sky,None,2017-06-04,BUTTONS AND PAIN,1,3
536,Knopf,Jo Nesbo,0385352174,2017-05-28,THE THIRST,1,2
537,Del Rey,Robin Hobb,0553392972,2017-05-28,ASSASSIN'S FATE,1,2
538,Ecco/HarperCollins,Dennis Lehane,0062129406,2017-05-28,SINCE WE FELL,1,3
539,Berkley,Amanda Quick,0698193628,2017-05-28,THE GIRL WHO KNEW TOO MUCH,1,6
540,BookShots,James Patterson,0316469742,2017-05-21,DETECTIVE CROSS,1,2
541,BookShots,James Patterson and Jassy Mackenzie,0316438839,2017-05-21,PRIVATE: GOLD,1,2
542,Putnam,Ace Atkins,0698413067,2017-05-21,ROBERT B. PARKER'S LITTLE WHITE LIES,1,6
543,Random House,Elizabeth Strout,0812989422,2017-05-14,ANYTHING IS POSSIBLE,1,3
544,St. Martin's,Iris Johansen,1466887222,2017-05-14,NO EASY TARGET,1,3
545,Gallery Books,Kresley Cole,1501120565,2017-05-14,WICKED ABYSS,1,2
546,Atria,Fredrik Backman,1501160788,2017-05-14,BEARTOWN,1,1
547,Putnam,Stuart Woods,0399574212,2017-05-07,FAST AND LOOSE,1,3
548,Harlequin,Ron Carr,1460396618,2017-05-07,ANY DAY NOW,1,3
549,Knopf,Anita Shreve,0385350910,2017-05-07,THE STARS ARE FIRE,1,4
550,Grand Central,Jeffery Deaver,1455536393,2017-04-30,THE BURIAL HOUR,1,3
551,Del Rey,Timothy Zahn,0345511271,2017-04-30,THRAWN,1,1
552,EverAfter Romance,Vi Keeland and Penelope Ward,1942215584,2017-04-30,MISTER MONEYBAGS,1,2
553,Harper,Anne Hillerman,0062391895,2017-04-30,SONG OF THE LION,1,4
554,Ballantine,J R Ward,0698192982,2017-04-23,THE CHOSEN,1,2
555,St. Martin's,Steve Berry,1466862629,2017-04-23,THE LOST ORDER,1,3
556,Atlantic Monthly,Donna Leon,0802189458,2017-04-23,EARTHLY REMAINS,1,2
557,Ampersand,Kristen Pro,1633500233,2017-04-23,EASY MAGIC,1,2
558,Avon,Lynsay Sands,0062468855,2017-04-16,IMMORTAL UNCHAINED,1,2
559,EverAfter Romance,Corinne Michaels,1942834217,2017-04-16,SAY I'M YOURS,1,3
560,Berkley,Christine Feehan,0399583947,2017-04-09,BOUND TOGETHER,1,2
561,Ballantine,Debbie Macomber,0553391976,2017-04-09,IF NOT FOR YOU,1,4
562,Touchstone,J A Jance,1501110810,2017-04-09,MAN OVERBOARD,1,2
563,Gallery Books,Catherine Coulter and J T Ellison,1501150359,2017-04-02,THE DEVIL'S TRIANGLE,1,3
564,Putnam,Clive Cussler and Justin Scott,0399575618,2017-04-02,THE CUTTHROAT,1,2
565,Harper/HarperCollins,Jacqueline Winspear,0062436619,2017-04-02,IN THIS GRAVE HOUR,1,4
566,Tyndale House,Joel C Rosenberg,None,2017-04-02,WITHOUT WARNING,1,2
567,Ace,Patricia Briggs,0698195817,2017-03-26,SILENCE FALLEN,1,2
568,Berkley,Maya Banks,0698176197,2017-03-26,BRIGHTER THAN THE SUN,1,4
569,ROC,Anne Bishop,0698190459,2017-03-26,ETCHED IN BONE,1,3
570,St. Martin's,Allison Brennan,1250105277,2017-03-26,MAKE THEM PAY,1,3
571,Avon,Jeaniene Frost,0062075853,2017-03-19,INTO THE FIRE,1,3
572,Morrow,Faye Kellerman,0062425250,2017-03-19,BONE BOX,1,2
573,Mira,Susan Mallery,146039643X,2017-03-19,A MILLION LITTLE THINGS,1,4
574,EverAfter Romance,Tijan,None,2017-03-19,COLE,1,1
575,Kensington,Joanne Fluke,1617732214,2017-03-19,BANANA CREAM PIE MURDER,1,4
576,Valkyrie,Kresley Cole,0997215186,2017-03-19,SHADOW'S SEDUCTION,1,2
577,Avon,Lisa Kleypas,0062371908,2017-03-12,DEVIL IN SPRING,1,3
578,Del Rey,Chuck Wendig,1101966963,2017-03-12,AFTERMATH:: EMPIRE'S END,1,3
579,Mira,Pam Jenoff,0778319814,2017-03-12,THE ORPHAN'S TALE,1,3
580,Waterhouse Press,Helen Hardt,None,2017-03-05,BURN,1,1
581,Berkley,Mark Greaney,0698406850,2017-03-05,GUNMETAL GRAY,1,2
582,Jove,Mary Balogh,0698411390,2017-02-26,SOMEONE TO HOLD,1,3
583,Dial,Sophie Kinsella,0812998278,2017-02-26,MY NOT SO PERFECT LIFE,1,5
584,Avon,Eloisa James,0062389467,2017-02-19,SEVEN MINUTES IN HEAVEN,1,4
585,Golden Unicorn Enterprises,J S Scott,1939962676,2017-02-19,BILLIONAIRE UNKNOWN,1,2
586,Berkley,Jodi Picoult,None,2017-02-19,PICTURE PERFECT,1,2
587,Avon,Lynsay Sands,0062273620,2017-02-19,FALLING FOR THE HIGHLANDER,1,4
588,Zebra,Kat Martin,1420139053,2017-02-19,INTO THE FIRESTORM,1,3
589,Berkley,Christine Feehan,None,2017-02-12,POWER GAME,1,2
590,genreCrave,Gwynn White and various authors,None,2017-02-12,DARK HUMANITY,1,2
591,Avon,Jill Shalvis,0062448072,2017-02-12,ACCIDENTALLY ON PURPOSE,1,3
592,Delacorte,Karen Marie Moning,0425284360,2017-02-05,FEVERSONG,1,1
593,EverAfter Romance,Vi Keeland,1942215568,2017-02-05,EGOMANIAC,1,1
594,Romig Works,Aleatha Romig,0996839445,2017-02-05,FIDELITY,1,1
595,Lauren Blakely,Lauren Blakely,None,2017-01-29,FULL PACKAGE,1,2
596,Dutton,Brad Taylor,None,2017-01-29,RING OF FIRE,1,3
597,Berkley,Karen White,None,2017-01-29,THE GUESTS ON SOUTH BATTERY,1,5
598,Ballantine,Kristin Hannah,0345459504,2017-01-22,DISTANT SHORES,1,2
599,Berkley,Catherine Anderson,0451488024,2017-01-22,MULBERRY MOON,1,2
600,Henry Holt,Ian McGuire,1627795952,2017-01-22,THE NORTH WATER,1,3
601,Zebra,Fern Michaels,None,2017-01-15,CRASH AND BURN,1,3
602,Waterhouse,Helen Hardt,None,2017-01-08,MELT,1,1
603,Morrow/HarperCollins,James Rollins,0062381709,2017-01-01,THE SEVENTH PLAGUE,1,3
604,Ballantine,J R Ward,0698193288,2016-12-25,BLOOD VOW,1,2
605,Knopf,Anne Rice,0385353790,2016-12-18,PRINCE LESTAT AND THE REALMS OF ATLANTIS,1,7
606,Harper,Bernard Cornwell,0062250825,2016-12-18,THE FLAME BEARER,1,3
607,Random House,Fannie Flagg,140006595X,2016-12-18,THE WHOLE TOWN'S TALKING,1,4
608,Del Rey,James Luceno,0345511492,2016-12-04,CATALYST,1,1
609,Simon & Schuster,Richard Paul Evans,1501119818,2016-12-04,THE MISTLETOE SECRET,1,3
610,St. Martin's,Jeffrey Archer,1466867515,2016-11-27,THIS WAS A MAN,1,4
611,Jove,Christine Feehan,None,2016-11-27,LEOPARD'S FURY,1,2
612,Signet,Mary Balogh,0451477790,2016-11-27,SOMEONE TO LOVE,1,3
613,Tor,David Weber,1429952113,2016-11-27,AT THE SIGN OF TRIUMPH,1,5
614,Avon Impulse,Jill Shalvis,006246356X,2016-11-27,ONE SNOWY NIGHT,1,3
615,Berkley,Nalini Singh,None,2016-11-20,ARCHANGEL'S HEART,1,2
616,BAAE,Corinne Michaels,1942834209,2016-11-20,SAY YOU WANT ME,1,4
617,Morrow/HarperCollins,Allison Brennan,1250105102,2016-11-20,THE LOST GIRLS,1,3
618,"Little, Brown",James Patterson and Jeffrey J Keyes,0316361534,2016-11-20,KILLER CHEF,1,2
619,Putnam,Stuart Woods,None,2016-11-13,"SEX, LIES  AND SERIOUS MONEY",1,5
620,Orbit,Brent Weeks,0316251313,2016-11-13,THE BLOOD MIRROR,1,3
621,Howard Books,Karen Kingsbury,1451687567,2016-11-13,A BAXTER FAMILY CHRISTMAS,1,4
622,DLZ Entertainment,Lexi Blake,1937608530,2016-11-13,SUBMISSION IS NOT ENOUGH,1,4
623,St. Martin's,Iris Johansen and Roy Johansen,1466887338,2016-11-13,NIGHT WATCH,1,2
624,Lauren Blakely,Lauren Blakely,None,2016-11-06,THE SEXY ONE,1,3
625,Emma Chase,Emma Chase,0997426225,2016-11-06,ROYALLY SCREWED,1,2
626,Berkley,Laurell K Hamilton,None,2016-10-30,CRIMSON DEATH,1,2
627,Pantheon,Alexander McCall Smith,1101871369,2016-10-30,PRECIOUS AND GRACE,1,3
628,Ballantine,Debbie Macomber,0553391747,2016-10-23,TWELVE DAYS OF CHRISTMAS,1,4
629,"Little, Brown",Elin Hilderbrand,0316261157,2016-10-23,WINTER STORMS,1,2
630,Putnam,WEB Griffin and William E Butterworth,None,2016-10-23,BROKEN TRUST,1,2
631,Waterhouse,Helen Hardt,None,2016-10-16,POSSESSION,1,1
632,Elle Kennedy,Elle Kennedy,None,2016-10-16,THE GOAL,1,2
633,HQN,RaeAnne Thayne,1459294947,2016-10-16,SNOWFALL ON HAVEN POINT,1,4
634,Mira,Heather Graham,1460395921,2016-10-16,DARKEST JOURNEY,1,2
635,Kensington,Joanne Fluke,161773229X,2016-10-16,CHRISTMAS CARAMEL MURDER,1,3
636,Mira,Ron Carr,1460395956,2016-10-16,THE LIFE SHE WANTS,1,4
637,Ace,Ilona Andrews,None,2016-10-09,MAGIC BINDS,1,2
638,Avon/HarperCollins,Lynsay Sands,0062316079,2016-10-09,IMMORTAL NIGHTS,1,2
639,Random House,Alan Bradley,0345539982,2016-10-09,THRICE THE BRINDED CAT HATH MEW'D,1,6
640,Putnam,Amy Tan,None,2016-10-09,THE BONESETTER'S DAUGHTER,1,3
641,Viking,Craig Johnson,None,2016-10-02,AN OBVIOUS FACT,1,3
642,Lauren Blakely,Lauren Blakely,None,2016-10-02,WELL HUNG,1,2
643,Putnam,Reed Farrel Coleman,None,2016-10-02,ROBERT B. PARKER'S DEBT TO PAY,1,6
644,Nan A. Talese/Doubleday,Ian McEwan,0385542070,2016-10-02,NUTSHELL,1,1
645,Morrow/HarperCollins,J A Jance,0062297732,2016-09-25,DOWNFALL,1,1
646,Berkley,Clare Mackintosh,None,2016-09-25,I LET YOU GO,1,4
647,BookShots,James Patterson with Max DiLallo,0316361526,2016-09-25,113 MINUTES,1,2
648,"Farrar, Straus & Giroux",Jonathan Safran Foer,0374280029,2016-09-25,HERE I AM,1,3
649,HQN,Linda Lael Miller,1460394135,2016-09-18,ALWAYS A COWBOY,1,3
650,Zebra,Fern Michaels,1420140647,2016-09-18,FAST AND LOOSE,1,3
651,Avon,Sarah MacLean,0062379445,2016-09-18,A SCOT IN THE DARK,1,5
652,Simon & Schuster,James Lee Burke,1501107488,2016-09-18,THE JEALOUS KIND,1,3
653,HarperCollins,Susan Elizabeth Phillips,0062405632,2016-09-11,FIRST STAR I SEE TONIGHT,1,5
654,Ballantine,Kristin Hannah,0345459520,2016-09-11,SUMMER ISLAND,1,2
655,Avon,Maya Banks,0062410172,2016-09-11,WITH EVERY BREATH,1,3
656,St. Martin's,Lisa Scottoline,1250099633,2016-09-04,DAMAGED,1,1
657,Jamie McGuire,Jamie McGuire,None,2016-09-04,A BEAUTIFUL FUNERAL,1,3
658,Blue Bolt,Jasmine Walt and Rebecca Hamilton,None,2016-09-04,SHADOW BORN,1,2
659,Penelope Ward,Penelope Ward,1942215479,2016-09-04,NEIGHBOR DEAREST,1,2
660,Touchstone,Philippa Gregory,1476758751,2016-08-28,"THREE SISTERS, THREE QUEENS",1,4
661,Witness Impulse,J A Jance,0062499041,2016-08-28,RANDOM ACTS,1,2
662,Morrow/HarperCollins,Kristen Pro,0062434780,2016-08-28,CLOSE TO YOU,1,3
663,Putnam,Stuart Woods and Parnell Hall,None,2016-08-21,SMOOTH OPERATOR,1,2
664,Berkley,Christine Feehan,None,2016-08-21,DARK CAROUSEL,1,2
665,BookShots,James Patterson with Michael Ledwidge,031636164X,2016-08-21,CHASE,1,1
666,St. Martin's,Sherrilyn Kenyon,1250092418,2016-08-21,DRAGONMARK,1,1
667,Jove,Jayne Castle,None,2016-08-14,ILLUSION TOWN,1,2
668,HQN,Marie Force,1459294920,2016-08-14,FATAL IDENTITY,1,2
669,Mira,Ron Carr,1460346769,2016-08-14,THE HOUSE ON OLIVE STREET,1,5
670,Mira,Heather Graham,1460395646,2016-08-14,DEADLY FATE,1,2
671,Dutton,Linda Fairstein,None,2016-08-14,KILLER LOOK,1,2
672,New American Library,J R Ward,None,2016-08-14,THE ANGELS' SHARE,1,3
673,St. Martin's,Iris Johansen,1466887214,2016-08-07,NIGHT AND DAY,1,3
674,Waterhouse,Helen Hardt,None,2016-08-07,OBSESSION,1,1
675,Grand Central,Nicholas Sparks,0759527881,2016-07-31,THE GUARDIAN,1,2
676,Minotaur,Linda Castillo,1466867272,2016-07-31,AMONG THE WICKED,1,3
677,HQN,Susan Mallery,1460394356,2016-07-31,DAUGHTERS OF THE BRIDE,1,4
678,Kendall Ryan,Kendall Ryan,None,2016-07-24,HITCHED,1,1
679,BookShots,James Patterson and Emily Raymond,0316276405,2016-07-24,LITTLE BLACK DRESS,1,3
680,Jove,Christine Feehan,None,2016-07-17,SHADOW RIDER,1,2
681,Bantam,Janet Evanovich and Lee Goldberg,0553392786,2016-07-10,THE PURSUIT,1,2
682,Putnam,Stuart Woods,None,2016-06-26,DISHONORABLE INTENTIONS,1,2
683,Grand Central,Brad Meltzer and Tod Goldberg,1455559504,2016-06-26,THE HOUSE OF SECRETS,1,4
684,Random House,Alan Furst,081299650X,2016-06-19,A HERO OF FRANCE,1,4
685,Zebra,Kat Martin,1420139037,2016-06-19,INTO THE WHIRLWIND,1,3
686,Mira,Heather Graham,1459294149,2016-06-12,HAUNTED DESTINY,1,2
687,Aurora Rose Reynolds,Aurora Rose Reynolds,None,2016-06-12,UNTIL JUNE,1,2
688,Pocket Books,Laura Griffin,1476779287,2016-06-12,DEEP DARK,1,2
689,Grand Central,Douglas Preston and Lincoln Child,145552588X,2016-06-05,BEYOND THE ICE LIMIT,1,4
690,Denise Grover Swank,Denise Grover Swank,1939996392,2016-06-05,THIRTY-SIX AND A HALF MOTIVES,1,5
691,Berkley,Jane Green,None,2016-06-05,THE BEACH HOUSE,1,3
692,Viking,Craig Johnson,None,2016-06-05,THE HIGHWAYMAN,1,2
693,Morrow,Linda Howard,0062419005,2016-05-29,TROUBLEMAKER,1,1
694,Mira,Debbie Macomber,1459254821,2016-05-29,16 LIGHTHOUSE ROAD,1,3
695,Del Rey,Claudia Gray,0345511360,2016-05-22,STAR WARS: BLOODLINE,1,3
696,Signet,Mary Balogh,0698411323,2016-05-22,ONLY BELOVED,1,2
697,Putnam,Ace Atkins,None,2016-05-22,ROBERT B. PARKER'S SLOW BURN,1,5
698,Berkley,Maya Banks,None,2016-05-22,DOMINATED,1,1
699,Jove,Christine Feehan,0698197755,2016-05-15,FIRE BOUND,1,2
700,HQN,Susan Mallery,1459293894,2016-05-15,BEST OF MY LOVE,1,4
701,St. Martin's Press,Iris Johansen,1466887206,2016-05-15,HIDE AWAY,1,2
702,Berkley,Marie Force,None,2016-05-15,AIN'T SHE SWEET,1,3
703,Kristen Ashley,Kristen Ashley,None,2016-05-08,BOUNTY,1,1
704,Jove,Nora Roberts,None,2016-05-08,JEWELS OF THE SUN,1,4
705,St. Martin's Griffin,Kylie Scott,1250083273,2016-05-08,DIRTY,1,1
706,Morrow/HarperCollins,Gilly Macmillan,None,2016-05-08,WHAT SHE KNEW,1,3
707,Berkley,Amanda Quick,069819361X,2016-05-08,'TIL DEATH DO US PART,1,5
708,St. Martin's,Lisa Scottoline,1250088127,2016-05-01,MOST WANTED,1,2
709,Oak Press,Bella Andre,1938127897,2016-05-01,NOW THAT I'VE FOUND YOU,1,5
710,Valkyrie Press,Kresley Cole,0997215100,2016-05-01,THE PLAYER,1,2
711,Morrow/HarperCollins,Kristen Pro,0062434772,2016-05-01,LISTEN TO ME,1,3
712,New American Library,J R Ward,None,2016-04-24,THE BEAST,1,2
713,Dell,Diana Gabaldon,1101882522,2016-04-24,VIRGINS,1,1
714,Morrow/HarperCollins,Bryan Reardon,0062339532,2016-04-24,FINDING JAKE,1,2
715,Harlequin,Ron Carr,1459292472,2016-04-24,WHAT WE FIND,1,3
716,Harper/HarperCollins,Jacqueline Winspear,0062220624,2016-04-17,JOURNEY TO MUNICH,1,3
717,HQN,Linda Lael Miller,1459292529,2016-04-17,ONCE A RANCHER,1,3
718,Grand Central,Jill Shalvis,145558679X,2016-04-17,NOBODY BUT YOU,1,3
719,HarperCollins,Lisa Scottoline,0061797766,2016-04-17,DADDY'S GIRL,1,2
720,Tijan,Tijan,None,2016-04-17,LOGAN KADE,1,2
721,Howard Books,Karen Kingsbury,1451687540,2016-04-17,A BRUSH OF WINGS,1,4
722,Random House,Helen Simonson,0679644644,2016-04-10,THE SUMMER BEFORE THE WAR,1,5
723,Grand Central,Nicholas Sparks,0759507910,2016-04-10,THE WEDDING,1,2
724,Berkley,Christine Feehan,None,2016-04-03,DARK PROMISES,1,2
725,InterMix,Nora Roberts,None,2016-04-03,PLAYING THE ODDS,1,3
726,Loveswept,Sawyer Bennett,1101968109,2016-04-03,HAWKE,1,1
727,Putnam,Randy Wayne White,039917351X,2016-04-03,DEEP BLUE,1,2
728,Harper,Anne Hillerman,0062270532,2016-03-27,ROCK WITH WINGS,1,3
729,Atlantic Monthly,Donna Leon,0802190316,2016-03-27,THE WATERS OF ETERNAL YOUTH,1,5
730,Touchstone,J A Jance,1501110764,2016-03-27,CLAWBACK,1,1
731,Roc,Anne Bishop,0698190424,2016-03-27,MARKED IN FLESH,1,3
732,Touchstone,Kathleen Grissom,1439160120,2016-03-20,THE KITCHEN HOUSE,1,3
733,Scribner,Colm Toibin,1501106473,2016-03-20,BROOKLYN,1,1
734,Avon,Lynsay Sands,0062316052,2016-03-13,RUNAWAY VAMPIRE,1,2
735,Ballantine,Tess Gerritsen,0345549635,2016-03-13,GIRL MISSING,1,2
736,Kensington,Joanne Fluke,1617732176,2016-03-13,WEDDING CAKE MURDER,1,3
737,HQN,Lori Foster,1459292413,2016-03-13,FIGHTING DIRTY,1,2
738,Jove,Nora Roberts,None,2016-03-06,THE NEXT ALWAYS,1,3
739,Metal Blonde,Karina Halle,None,2016-03-06,THE LIE,1,2
740,Del Rey,Pierce Brown,0345539850,2016-02-28,MORNING STAR,1,2
741,Putnam,Alex Berenson,None,2016-02-28,THE WOLVES,1,2
742,Vintage,P D James,0307758982,2016-02-28,A TASTE FOR DEATH,1,4
743,Gallery Books,Christina Lauren,1476777993,2016-02-21,WICKED SEXY LIAR,1,3
744,Jove,Christine Feehan,None,2016-02-14,SPIDER GAME,1,2
745,Tor/Tom Doherty,Brandon Sanderson,146686267X,2016-02-14,THE BANDS OF MOURNING,1,4
746,Avon,Eloisa James,0062389440,2016-02-14,MY AMERICAN DUCHESS,1,3
747,Del Rey,Kevin Hearne,0345548523,2016-02-14,STAKED,1,1
748,Simon & Schuster,Sandra Brown,1416563229,2016-02-14,TOUGH CUSTOMER,1,2
749,Delacorte,Karen Marie Moning,0440339820,2016-02-07,FEVERBORN,1,1
750,Harper,Bernard Cornwell,0062250965,2016-02-07,WARRIORS OF THE STORM,1,4
751,Elle Kennedy,Elle Kennedy,None,2016-01-31,THE SCORE,1,2
752,Kristen Ashley,Kristen Ashley,None,2016-01-31,SEBRING,1,1
753,Dutton,Tami Hoag,0698190831,2016-01-31,THE BITTER SEASON,1,3
754,Morrow/HarperCollins,Jay Crownover,006238595X,2016-01-24,BUILT,1,1
755,Kensington,Fern Michaels,None,2016-01-17,POINT BLANK,1,2
756,Dutton,Brad Taylor,0698404149,2016-01-17,THE FORGOTTEN SOLDIER,1,3
757,HQN,Kristan Higgins,1460391896,2016-01-17,ANYTHING FOR YOU,1,3
758,Morrow/HarperCollins,James Rollins,0062381636,2016-01-03,THE BONE LABYRINTH,1,3
759,Berkley,Jayne Ann Krentz,None,2015-12-27,SECRET SISTERS,1,2
760,Signet,J R Ward,None,2015-12-20,BLOOD KISS,1,2
761,Jove,Christine Feehan,None,2015-12-13,WILD CAT,1,2
762,Kendall Ryan,Kendall Ryan,None,2015-12-06,MONSTER PRICK,1,2
763,Simon & Schuster,Richard Paul Evans,1501119796,2015-12-06,THE MISTLETOE INN,1,3
764,Morrow/HarperCollins,Kim van Alkemade,0062338315,2015-12-06,ORPHAN #8,1,2
765,Atria,Colleen Hoover,1501110357,2015-11-29,9-Nov,1,1
766,Berkley,Joanna Wylde,None,2015-11-29,REAPER'S FALL,1,2
767,Simon & Schuster,John Irving,1451664168,2015-11-22,AVENUE OF MYSTERIES,1,3
768,Crown Archetype,Gillian Flynn,080418898X,2015-11-22,THE GROWNUP,1,2
769,Berkley,Marie Force,None,2015-11-22,IT'S ONLY LOVE,1,3
770,Viking,Elizabeth George,None,2015-11-15,A BANQUET OF CONSEQUENCES,1,4
771,Forever,Kristen Ashley,1455533246,2015-11-15,WALK THROUGH FIRE,1,3
772,Berkley,Maya Banks,None,2015-11-15,DARKEST BEFORE DAWN,1,3
773,Avon,Lisa Kleypas,None,2015-11-15,COLD-HEARTED RAKE,1,2
774,Pantheon,Alexander McCall Smith,None,2015-11-15,THE WOMAN WHO WALKED IN SUNSHINE,1,6
775,St. Martin's,Lisa Scottoline,1250027942,2015-11-15,CORRUPTED,1,1
776,Atria,Kate Morton,1451649371,2015-11-08,THE LAKE HOUSE,1,3
777,Harper Perennial/HarperCollins,Joseph Fink and Jeffrey Cranor,0062351427,2015-11-08,WELCOME TO NIGHT VALE,1,4
778,Tijan,Tijan,None,2015-11-08,KIAN,1,1
779,Putnam,Stuart Woods,None,2015-11-01,FOREIGN AFFAIRS,1,2
780,Knopf,Garth Risk Hallberg,0385353774,2015-11-01,CITY ON FIRE,1,3
781,Tor/Tom Doherty,David Weber,142994983X,2015-11-01,HELL'S FOUNDATIONS QUIVER,1,3
782,Tor/Tom Doherty,Brandon Sanderson,1466862661,2015-10-25,SHADOWS OF SELF,1,3
783,Ballantine,Debbie Macomber,0553391704,2015-10-25,DASHING THROUGH THE SNOW,1,4
784,Putnam,John Sandford and Ctein,0698411676,2015-10-25,SATURN RUN,1,2
785,ROC,Jim Butcher,0698138007,2015-10-18,THE AERONAUT'S WINDLASS,1,3
786,Jove,J D Robb and others,None,2015-10-18,DOWN THE RABBIT HOLE,1,4
787,Avon,Lynsay Sands,None,2015-10-18,ABOUT A VAMPIRE,1,3
788,St. Martin's,Iris Johansen,None,2015-10-18,SHADOW PLAY,1,2
789,Mira,Heather Graham,None,2015-10-18,THE HIDDEN,1,2
790,Ballantine,Kristin Hannah,0307756963,2015-10-11,ANGEL FALLS,1,2
791,Ballantine,Debbie Macomber,None,2015-10-11,THE WAY TO A MAN'S HEART,1,6
792,Kingswell,Richard Castle,1484720342,2015-10-11,RAGING HEAT,1,2
793,Forever,Meredith Wild,1455591742,2015-10-04,HARD LOVE,1,2
794,Carina,Marie Force,142689998X,2015-10-04,FATAL FRENZY,1,2
795,Morrow/HarperCollins,J A Jance,0062297686,2015-09-27,DANCE OF THE BONES,1,4
796,Putnam,Reed Farrel Coleman,None,2015-09-27,ROBERT B. PARKER'S THE DEVIL WINS,1,6
797,Putnam,Clive Cussler and Russell Blake,0698192095,2015-09-20,THE SOLOMON CURSE,1,3
798,Berkley,Christine Feehan,None,2015-09-20,DARK GHOST,1,2
799,Signet,Mary Balogh,0698156102,2015-09-20,ONLY A KISS,1,3
800,Minotaur,Louise Penny,1250022096,2015-09-13,THE NATURE OF THE BEAST,1,5
801,Touchstone,Philippa Gregory,1476758824,2015-09-13,THE TAMING OF THE QUEEN,1,5
802,JMC Creations,JS Cooper,1940218403,2015-09-06,FOUR WEEK FIANCÌä,1,3
803,HTJB,Marie Force,1942295332,2015-09-06,LOVE AFTER DARK,1,3
804,HarperCollins,Michael Crichton,006175272X,2015-08-30,STATE OF FEAR,1,3
805,Dutton/Penguin Publishing Group,Linda Fairstein,None,2015-08-30,DEVIL'S BRIDGE,1,2
806,Ace,Ilona Andrews,None,2015-08-23,MAGIC SHIFTS,1,2
807,St. Martin's,Sherrilyn Kenyon,1250029953,2015-08-23,DRAGONBANE,1,1
808,Jove,"Christine Feehan, Maggie Shayne and Lori Herter",None,2015-08-23,EDGE OF DARKNESS,1,3
809,Putnam,W E B Griffin and William E Butterworth IV,None,2015-08-23,DEADLY ASSETS,1,2
810,Harlequin,Susan Mallery,1460384016,2015-08-16,THRILL ME,1,2
